,open,high,low,close,adjclose,volume,ticker
2010-01-08,102.0,261.25,102.0,257.45001220703125,221.91917419433594,48363.0,UNITEDTEA.NS
2010-01-11,287.29998779296875,308.95001220703125,275.0,301.8500061035156,260.1915283203125,112864.0,UNITEDTEA.NS
2010-01-12,309.70001220703125,309.70001220703125,263.25,275.20001220703125,237.2195281982422,56249.0,UNITEDTEA.NS
2010-01-13,265.0,299.1000061035156,265.0,288.1499938964844,248.3822784423828,38361.0,UNITEDTEA.NS
2010-01-14,290.0,294.0,283.0,290.20001220703125,250.14939880371094,11492.0,UNITEDTEA.NS
2010-01-15,292.0,292.0,265.0,269.1000061035156,231.96139526367188,9764.0,UNITEDTEA.NS
2010-01-18,274.79998779296875,274.79998779296875,251.0,256.75,221.31578063964844,4538.0,UNITEDTEA.NS
2010-01-19,262.8500061035156,262.8500061035156,241.5,245.0,211.18740844726562,5425.0,UNITEDTEA.NS
2010-01-20,235.25,253.64999389648438,230.9499969482422,232.0,199.9815216064453,2645.0,UNITEDTEA.NS
2010-01-21,239.9499969482422,239.9499969482422,211.1999969482422,213.89999389648438,184.37953186035156,19208.0,UNITEDTEA.NS
2010-01-22,200.0,218.3000030517578,197.1999969482422,202.35000610351562,174.42359924316406,5081.0,UNITEDTEA.NS
2010-01-25,197.5,205.0,190.14999389648438,193.5500030517578,166.83807373046875,1148.0,UNITEDTEA.NS
2010-01-27,188.1999969482422,207.0,188.1999969482422,197.64999389648438,170.37222290039062,2631.0,UNITEDTEA.NS
2010-01-28,207.9499969482422,207.9499969482422,182.0,185.85000610351562,160.20074462890625,2221.0,UNITEDTEA.NS
2010-01-29,184.9499969482422,184.9499969482422,169.9499969482422,179.0500030517578,154.33917236328125,1333.0,UNITEDTEA.NS
2010-02-01,183.0,183.0,165.1999969482422,171.8000030517578,148.08978271484375,2207.0,UNITEDTEA.NS
2010-02-02,177.9499969482422,177.9499969482422,168.14999389648438,171.9499969482422,148.21908569335938,2020.0,UNITEDTEA.NS
2010-02-03,175.0,182.0,168.1999969482422,177.6999969482422,153.175537109375,1987.0,UNITEDTEA.NS
2010-02-04,178.0,179.0,172.0,172.0,148.26220703125,674.0,UNITEDTEA.NS
2010-02-05,174.0,174.0,162.1999969482422,164.14999389648438,141.49554443359375,1267.0,UNITEDTEA.NS
2010-02-06,,,,,,,UNITEDTEA.NS
2010-02-08,163.0,163.0,147.0,150.25,129.513916015625,4515.0,UNITEDTEA.NS
2010-02-09,147.0,152.0,146.0,146.75,126.49695587158203,535.0,UNITEDTEA.NS
2010-02-10,145.5,157.6999969482422,134.1999969482422,152.6999969482422,131.6257781982422,1298.0,UNITEDTEA.NS
2010-02-11,152.8000030517578,157.6999969482422,145.10000610351562,155.14999389648438,133.7376708984375,6564.0,UNITEDTEA.NS
2010-02-15,155.0,160.0,151.0,156.89999389648438,135.24615478515625,2594.0,UNITEDTEA.NS
2010-02-16,164.0,164.0,143.0,148.0500030517578,127.61750793457031,12494.0,UNITEDTEA.NS
2010-02-17,145.10000610351562,154.75,142.25,146.35000610351562,126.15215301513672,7931.0,UNITEDTEA.NS
2010-02-18,146.0,147.4499969482422,143.5500030517578,144.0500030517578,124.16958618164062,665.0,UNITEDTEA.NS
2010-02-19,143.5,143.5,139.10000610351562,139.64999389648438,120.3768310546875,580.0,UNITEDTEA.NS
2010-02-22,136.5,143.75,136.5,139.64999389648438,120.3768310546875,708.0,UNITEDTEA.NS
2010-02-23,138.0,139.75,133.10000610351562,134.10000610351562,115.5927963256836,965.0,UNITEDTEA.NS
2010-02-24,136.39999389648438,137.4499969482422,132.0,132.4499969482422,114.17052459716797,1477.0,UNITEDTEA.NS
2010-02-25,134.75,140.0,127.19999694824219,130.0500030517578,112.10172271728516,2547.0,UNITEDTEA.NS
2010-02-26,130.0,134.75,125.0,130.25,112.27413177490234,775.0,UNITEDTEA.NS
2010-03-02,130.0,130.0,123.0,124.05000305175781,106.92979431152344,1105.0,UNITEDTEA.NS
2010-03-03,124.30000305175781,130.10000610351562,124.30000305175781,129.8000030517578,111.88622283935547,742.0,UNITEDTEA.NS
2010-03-04,130.0,134.75,126.94999694824219,130.4499969482422,112.44654083251953,428.0,UNITEDTEA.NS
2010-03-05,134.75,143.0,133.3000030517578,141.25,121.75604248046875,886.0,UNITEDTEA.NS
2010-03-08,141.35000610351562,150.0,141.35000610351562,145.9499969482422,125.80733489990234,1435.0,UNITEDTEA.NS
2010-03-09,144.0,150.0,144.0,150.0,129.29843139648438,418.0,UNITEDTEA.NS
2010-03-10,150.0,150.0,143.0,145.25,125.2039794921875,558.0,UNITEDTEA.NS
2010-03-11,155.0,155.0,141.10000610351562,142.75,123.0489730834961,766.0,UNITEDTEA.NS
2010-03-12,149.89999389648438,149.89999389648438,141.60000610351562,147.0,126.71247863769531,177.0,UNITEDTEA.NS
2010-03-15,146.8000030517578,147.0,139.5,140.4499969482422,121.06639099121094,638.0,UNITEDTEA.NS
2010-03-16,140.5500030517578,141.10000610351562,140.0,141.10000610351562,121.626708984375,107.0,UNITEDTEA.NS
2010-03-17,143.89999389648438,143.89999389648438,140.0,141.0,121.5405044555664,430.0,UNITEDTEA.NS
2010-03-18,142.89999389648438,143.89999389648438,141.10000610351562,141.14999389648438,121.66981506347656,128.0,UNITEDTEA.NS
2010-03-19,140.0,141.6999969482422,113.9000015258789,139.85000610351562,120.54922485351562,812.0,UNITEDTEA.NS
2010-03-22,141.5,141.5,133.39999389648438,134.0,115.50659942626953,287.0,UNITEDTEA.NS
2010-03-23,136.0,140.0,135.0,139.5,120.24756622314453,303.0,UNITEDTEA.NS
2010-03-25,148.5,148.5,138.14999389648438,138.4499969482422,119.34242248535156,800.0,UNITEDTEA.NS
2010-03-26,140.25,140.25,138.0,140.0,120.67854309082031,164.0,UNITEDTEA.NS
2010-03-29,142.0,142.0,138.0,138.10000610351562,119.040771484375,489.0,UNITEDTEA.NS
2010-03-30,115.5,143.85000610351562,115.5,137.39999389648438,118.43733215332031,318.0,UNITEDTEA.NS
2010-03-31,135.10000610351562,139.89999389648438,135.0,135.6999969482422,116.97196197509766,1006.0,UNITEDTEA.NS
2010-04-01,135.0,137.0,130.10000610351562,135.0500030517578,116.41168212890625,295.0,UNITEDTEA.NS
2010-04-05,137.0,137.5,132.5,132.5,114.21363067626953,301.0,UNITEDTEA.NS
2010-04-06,127.5999984741211,135.0,127.55000305175781,135.0,116.36859130859375,199.0,UNITEDTEA.NS
2010-04-07,138.0500030517578,138.0500030517578,132.5,136.0,117.23054504394531,278.0,UNITEDTEA.NS
2010-04-08,136.0,138.0,135.89999389648438,136.0500030517578,117.2736587524414,203.0,UNITEDTEA.NS
2010-04-09,139.0,141.0,137.25,138.8000030517578,119.6441421508789,577.0,UNITEDTEA.NS
2010-04-12,138.0,143.5,138.0,143.14999389648438,123.39378356933594,231.0,UNITEDTEA.NS
2010-04-13,133.14999389648438,154.89999389648438,133.14999389648438,151.60000610351562,130.67767333984375,510.0,UNITEDTEA.NS
2010-04-15,151.60000610351562,178.5,130.0,149.39999389648438,128.7812042236328,1468.0,UNITEDTEA.NS
2010-04-16,143.0,155.0,142.10000610351562,150.0,129.29843139648438,606.0,UNITEDTEA.NS
2010-04-19,150.0,151.0,150.0,150.0,129.29843139648438,661.0,UNITEDTEA.NS
2010-04-20,159.75,159.75,147.1999969482422,150.14999389648438,129.42770385742188,81.0,UNITEDTEA.NS
2010-04-21,134.0,170.0,134.0,158.85000610351562,136.92703247070312,13143.0,UNITEDTEA.NS
2010-04-22,156.60000610351562,162.0,154.0500030517578,156.89999389648438,135.24615478515625,1932.0,UNITEDTEA.NS
2010-04-23,155.0,158.39999389648438,150.10000610351562,150.35000610351562,129.60009765625,1211.0,UNITEDTEA.NS
2010-04-26,155.0,159.85000610351562,151.0500030517578,153.5,132.3153839111328,191.0,UNITEDTEA.NS
2010-04-27,150.0,154.9499969482422,148.5,148.89999389648438,128.35023498535156,148.0,UNITEDTEA.NS
2010-04-28,147.85000610351562,147.85000610351562,144.0,146.0,125.85044860839844,144.0,UNITEDTEA.NS
2010-04-29,150.0,150.39999389648438,145.0,150.1999969482422,129.47080993652344,4.0,UNITEDTEA.NS
2010-04-30,150.0,150.0,146.5500030517578,149.75,129.0829315185547,212.0,UNITEDTEA.NS
2010-05-03,140.0,159.8000030517578,140.0,149.1999969482422,128.60887145996094,2422.0,UNITEDTEA.NS
2010-05-04,145.0,146.4499969482422,142.10000610351562,142.6999969482422,123.00590515136719,271.0,UNITEDTEA.NS
2010-05-05,140.0,145.60000610351562,140.0,145.0,124.98846435546875,247.0,UNITEDTEA.NS
2010-05-06,146.25,155.4499969482422,141.0500030517578,142.1999969482422,122.57485961914062,2182.0,UNITEDTEA.NS
2010-05-07,136.5500030517578,144.0,136.5500030517578,140.0,120.67854309082031,1262.0,UNITEDTEA.NS
2010-05-10,139.0,144.5,137.0,144.39999389648438,124.47128295898438,640.0,UNITEDTEA.NS
2010-05-11,144.39999389648438,144.39999389648438,140.0,140.0,120.67854309082031,126.0,UNITEDTEA.NS
2010-05-12,136.0,140.0,136.0,140.0,120.67854309082031,15.0,UNITEDTEA.NS
2010-05-13,136.10000610351562,145.85000610351562,136.10000610351562,142.14999389648438,122.53180694580078,752.0,UNITEDTEA.NS
2010-05-14,140.0,150.0,140.0,144.8000030517578,124.81605529785156,321.0,UNITEDTEA.NS
2010-05-17,144.8000030517578,144.8000030517578,144.8000030517578,144.8000030517578,124.81605529785156,0.0,UNITEDTEA.NS
